Game Title,Developer,Genre,Metacritic Score,Platform,Status,Priority,Publisher,Public Reviews & Links,Recommendation Source,Release Date
Battlefield 6,Battlefield Studios,"Action, Shooter",85,"PC, PlayStation 5, Xbox Series X|S",Want to Play,High,Electronic Arts,No. 1 best-selling game of 2025. Biggest launch in Battlefield history with 7 million copies sold in 3 days and 750K concurrent Steam players.,Personal Discovery,"October 1, 2025"
Hollow Knight: Silksong,Team Cherry,"Action, Adventure, Indie, Platformer",100,"Nintendo Switch, PC, PlayStation 5, Xbox Series X|S",Want to Play,High,Team Cherry,Perfect 100 Metacritic score - highest rated game of all time currently. Sequel to critically acclaimed Hollow Knight.,Personal Discovery,"September 4, 2025"
Clair Obscur: Expedition 33,Sandfall Interactive,RPG,92,"PC, PlayStation 5, Xbox Series X|S",Want to Play,High,Kepler Interactive,Highest-rated new game of 2025 with Metascore of 92.,Personal Discovery,"April 1, 2025"
Call of Duty: Black Ops 6,Treyarch,"Action, Shooter",82,"PC, PlayStation 5, Xbox Series X|S",Want to Play,Medium,Activision,Best-selling game of 2024 in the US. Call of Duty has been No. 1 franchise for 16 years in a row.,Personal Discovery,"October 25, 2024"
Metaphor: ReFantazio,Studio Zero,RPG,94,"PC, PlayStation 5, Xbox Series X|S",Want to Play,High,Atlus,"Metascore 94. From creators of Persona 3, 4, and 5. One of highest-rated games of 2024.",Personal Discovery,"October 11, 2024"
The Plucky Squire,All Possible Futures,"Adventure, Platformer",76,"Nintendo Switch, PC, PlayStation 5, Xbox Series X|S",Want to Play,Medium,Devolver Digital,Metascore 76. 2D/3D dimension-hopping adventure. Charming storybook aesthetic.,Personal Discovery,"September 17, 2024"
Astro Bot,Team Asobi,"Action, Adventure, Platformer",94,PlayStation 5,Want to Play,High,Sony Interactive Entertainment,Highest-rated standalone game of 2024 with Metascore of 94. Won multiple Game of the Year awards.,Personal Discovery,"September 6, 2024"
Black Myth: Wukong,Game Science,"Action, RPG",81,"PC, PlayStation 5",Want to Play,High,Game Science,Metascore 81. Action-RPG based on Journey to the West. Over 20 million sold in first month.,Personal Discovery,"August 20, 2024"
Elden Ring: Shadow of the Erdtree,FromSoftware,"Action, RPG",95,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,High,Bandai Namco Entertainment,Metascore 95 - DLC expansion for Elden Ring. One of highest-rated releases of 2024.,Personal Discovery,"June 21, 2024"
Lorelei and the Laser Eyes,Simogo,"Adventure, Indie, Puzzle",87,"Nintendo Switch, PC, PlayStation 4, PlayStation 5",Want to Play,High,Annapurna Interactive,Metascore 87. Monochrome puzzle mystery. Dense with brain-teasing challenges.,Personal Discovery,"May 16, 2024"
Crow Country,SFB Games,"Adventure, Horror",83,"Nintendo Switch, PC, PlayStation 5",Want to Play,High,SFB Games,Metascore 83. PS1-style survival horror. Atmospheric theme park setting.,Personal Discovery,"May 9, 2024"
Animal Well,Billy Basso,"Indie, Platformer, Puzzle",91,"PC, PlayStation 5",Want to Play,High,Bigmode,Metascore 91. Atmospheric metroidvania. Dense with secrets and minimal guidance.,Personal Discovery,"May 9, 2024"
1000xRESIST,sunset visitor,"Adventure, Indie",89,"Nintendo Switch, PC",Want to Play,High,Fellow Traveller,Metascore 89. Sci-fi narrative adventure. Complex story about clones and memory.,Personal Discovery,"May 9, 2024"
Indika,Odd Meter,"Adventure, Puzzle",78,"PC, PlayStation 5, Xbox Series X|S",Want to Play,Medium,11 bit studios,Metascore 78. Surreal Russian Orthodox adventure. Philosophical narrative.,Personal Discovery,"May 2, 2024"
Harold Halibut,Slow Bros.,"Adventure, Indie",73,"PC, PlayStation 5, Xbox Series X|S",Want to Play,Medium,Slow Bros.,Metascore 73. Handcrafted stop-motion adventure. Unique visual style.,Personal Discovery,"April 16, 2024"
Botany Manor,Balloon Studios,"Adventure, Indie, Puzzle",79,"Nintendo Switch, PC, Xbox One, Xbox Series X|S",Want to Play,Medium,Whitethorn Games,Metascore 79. Cozy puzzle game about growing plants. Beautiful Victorian manor.,Personal Discovery,"April 9, 2024"
Dragon's Dogma 2,Capcom,"Action, RPG",86,"PC, PlayStation 5, Xbox Series X|S",Want to Play,High,Capcom,Metascore 86. Action-RPG sequel 12 years later. Expansive world with pawn system.,Personal Discovery,"March 22, 2024"
Tiny Rogues,Ravenous Games,"Action, Indie",79,PC,Want to Play,Medium,Ravenous Games,Metascore 79. Bullet hell roguelike. Tiny pixel art with huge content.,Personal Discovery,"March 16, 2024"
Unicorn Overlord,Vanillaware,"RPG, Strategy",85,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox Series X|S",Want to Play,High,Atlus,Metascore 85. Tactical RPG from Vanillaware. Beautiful 2D art and deep strategy.,Personal Discovery,"March 8, 2024"
Final Fantasy VII Rebirth,Square Enix,"Action, RPG",92,PlayStation 5,Want to Play,High,Square Enix,Metascore 92. Second part of FF7 Remake trilogy. Massive open-world expansion.,Personal Discovery,"February 29, 2024"
Pacific Drive,Ironwood Studios,"Adventure, Horror",79,"PC, PlayStation 5",Want to Play,Medium,Kepler Interactive,Metascore 79. First-person driving survival. Mysterious anomalous zone.,Personal Discovery,"February 22, 2024"
Balatro,LocalThunk,"Indie, Strategy",90,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,High,Playstack,Metascore 90. Poker-based roguelike deckbuilder. Highly addictive indie hit.,Personal Discovery,"February 20, 2024"
Helldivers 2,Arrowhead Game Studios,"Action, Shooter",82,"PC, PlayStation 5",Want to Play,High,Sony Interactive Entertainment,Third best-selling game of 2024. User score 8.2. Breakout multiplayer hit.,Personal Discovery,"February 8, 2024"
Like a Dragon: Infinite Wealth,Ryu Ga Gotoku Studio,"Action, RPG",89,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,High,Sega,Metascore 89. Yakuza series continuation. Hawaii setting with dual protagonists.,Personal Discovery,"January 26, 2024"
Tekken 8,Bandai Namco Studios,Fighting,90,"PC, PlayStation 5, Xbox Series X|S",Want to Play,High,Bandai Namco Entertainment,Metascore 90. Fighting game revival. Aggressive Heat system and stunning visuals.,Personal Discovery,"January 26, 2024"
Palworld,Pocketpair,"Action, Adventure, Simulation",76,"PC, Xbox One, Xbox Series X|S",Want to Play,Medium,Pocketpair,Metascore 76. Creature collection survival game. Over 25 million sold in early access.,Personal Discovery,"January 19, 2024"
Prince of Persia: The Lost Crown,Ubisoft Montpellier,"Action, Platformer",86,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,High,Ubisoft,Metascore 86. Metroidvania revival of classic series. Tight combat and level design.,Personal Discovery,"January 18, 2024"
Jusant,Don't Nod,"Adventure, Puzzle",82,"PC, PlayStation 5, Xbox Series X|S",Want to Play,Medium,Don't Nod,Metascore 82. Meditative climbing game. Beautiful environments and zen atmosphere.,Personal Discovery,"October 31, 2023"
Alan Wake 2,Remedy Entertainment,"Action, Adventure, Horror",89,"PC, PlayStation 5, Xbox Series X|S",Want to Play,High,Epic Games,Metascore 89. Survival horror sequel 13 years later. Dual protagonists and reality-bending narrative.,Personal Discovery,"October 27, 2023"
Marvel's Spider-Man 2,Insomniac Games,"Action, Adventure",90,PlayStation 5,Want to Play,High,Sony Interactive Entertainment,Metascore 90. One of PS5's biggest exclusives of 2023. Features both Peter Parker and Miles Morales as playable characters.,Personal Discovery,"October 20, 2023"
Super Mario Bros. Wonder,Nintendo,"Action, Platformer",92,Nintendo Switch,Want to Play,High,Nintendo,Metascore 92-93. First new 2D Mario in over a decade. Praised for creativity and innovation in classic Mario formula.,Personal Discovery,"October 20, 2023"
Cocoon,Geometric Interactive,"Adventure, Indie, Puzzle",90,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,High,Annapurna Interactive,Metascore 90. Mind-bending puzzle game. World-within-worlds concept from Limbo creator.,Personal Discovery,"September 29, 2023"
Lies of P,Neowiz,"Action, RPG",80,"PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,High,Neowiz,Metascore 80. Pinocchio-themed soulslike. Praised for unique setting and boss fights.,Personal Discovery,"September 19, 2023"
Starfield,Bethesda Game Studios,"RPG, Shooter",83,"PC, Xbox Series X|S",Want to Play,High,Bethesda Softworks,Metascore 83. Bethesda's space RPG. Over 1000 planets to explore. Over 10 million players.,Personal Discovery,"September 6, 2023"
Chants of Sennaar,Rundisc,"Adventure, Indie, Puzzle",84,"Nintendo Switch, PC, PlayStation 4, Xbox One",Want to Play,High,Focus Entertainment,Metascore 84. Language deciphering puzzle game. Tower of Babel-inspired unique concept.,Personal Discovery,"September 5, 2023"
Sea of Stars,Sabotage Studio,"Indie, RPG",87,"Nintendo Switch, PC, PlayStation 4, PlayStation 5, Xbox One, Xbox Series X|S",Want to Play,High,Sabotage Studio,Metascore 87. Turn-based RPG homage to Chrono Trigger. Beautiful pixel art and music.,Personal Discovery,"August 29, 2023"
